,original,counterfactual,original_dataset_label,sentence_label,counterfactual_label,flip,similarity
0,it 's a charming and often affecting journey . ,it's a charming and often affecting journey.,1,1,1,0,0.9361702127659575
1,unflinchingly bleak and desperate ,unflinchingly bleak and desperate,0,0,0,0,0.9705882352941176
2,allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,Allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker.,1,1,1,0,0.9716981132075472
3,"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .",1,1,1,0,0.9915254237288136
4,"it 's slow -- very , very slow . ","it 's slow -- very, very slow .",0,1,0,0,0.9393939393939394
5,"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",Although  * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *,1,1,0,1,0.13658536585365855
6,a sometimes tedious film . ,a sometimes tedious film .,0,0,0,0,0.962962962962963
7,or doing last year 's taxes with your ex-wife . ,or doing last year's taxes with your ex-wife.,0,0,0,0,0.9375
8,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .,1,1,1,0,0.9901960784313726
9,"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes, most of which passed as slowly as if i were sitting naked on an igloo, formula 51 sank from quirky to utter.",0,0,0,0,0.8311688311688312
10,the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,The mesmerizing performances of the leads keep the film grounded and keep the audience riveted.,1,1,1,0,0.9690721649484536
11,"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","It takes a strange kind of laziness to waste the talents of Robert forster, Anne Meara, eugene levy, and Reginald Veljohnson all in the same movie.",0,0,0,0,0.9276315789473684
12,... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film suffers from a lack of humor (something needed to balance out the violence) ...,0,0,0,0,0.968421052631579
13,"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for (clara and paul ), even like them, though perhaps it's an emotion closer to pity.",1,0,0,1,0.9393939393939394
14,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they're seeking with trouble every day; the movie lacks both thrills and humor.,0,0,0,0,0.9694656488549618
15,"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorgeous, high-spirited musical from India that exquisitely blends music, dance, song, and high drama.",1,1,1,0,0.9363636363636364
16,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the emotions are raw and will strike a nerve with anyone who 's ever had family trauma .,1,1,1,0,0.9887640449438202
17,"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey,  has a knack for picking roles that magnify her outrageous charm, and in this literate French comedy, she's as morning-glory-exuberant as she was in the  *me*  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *  *",1,1,1,0,0.596
18,... the movie is just a plain old monster . ,... the movie is just a plain old monster.,0,0,0,0,0.9545454545454546
